channel,adstock,lag_weeks,pct_of_revenue,cumulative_pct,impulse_week,impulse_note,exported_at
Meta,geometric,0,0.5378227233886719,0.5378227233886719,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Meta,geometric,1,0.20384922623634338,0.7416719198226929,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Meta,geometric,2,0.09769432991743088,0.8393662571907043,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Meta,geometric,3,0.05403762310743332,0.8934038877487183,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Meta,geometric,4,0.03295854479074478,0.9263624548912048,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Meta,geometric,5,0.02158842422068119,0.9479508996009827,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Meta,geometric,6,0.014933357015252113,0.962884247303009,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Meta,geometric,7,0.010784552432596684,0.9736688137054443,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Meta,geometric,8,0.00806491356343031,0.9817337393760681,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Meta,geometric,9,0.006207292899489403,0.9879410266876221,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Meta,geometric,10,0.004894243087619543,0.992835283279419,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Meta,geometric,11,0.003938757814466953,0.9967740178108215,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Meta,geometric,12,0.0032259072177112103,0.9999999403953552,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Search,geometric,0,0.5109732151031494,0.5109732151031494,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Search,geometric,1,0.20345145463943481,0.7144246697425842,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Search,geometric,2,0.10169029980897903,0.8161149621009827,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Search,geometric,3,0.058404382318258286,0.8745193481445312,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Search,geometric,4,0.03683733195066452,0.9113566875457764,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Search,geometric,5,0.024851975962519646,0.9362086653709412,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Search,geometric,6,0.01763788051903248,0.9538465738296509,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Search,geometric,7,0.013022813014686108,0.9668694138526917,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Search,geometric,8,0.00992504321038723,0.9767944812774658,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Search,geometric,9,0.007763685192912817,0.9845581650733948,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Search,geometric,10,0.006206507328897715,0.9907646775245667,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Search,geometric,11,0.005054101813584566,0.9958187937736511,2023-12-17,peak activity in-window,2026-05-25 14:47:32
Search,geometric,12,0.004181327763944864,1.0000001192092896,2023-12-17,peak activity in-window,2026-05-25 14:47:32
PMAX,geometric,0,0.5170917510986328,0.5170917510986328,2023-10-22,peak activity in-window,2026-05-25 14:47:32
PMAX,geometric,1,0.2041139304637909,0.7212057113647461,2023-10-22,peak activity in-window,2026-05-25 14:47:32
PMAX,geometric,2,0.1010516881942749,0.822257399559021,2023-10-22,peak activity in-window,2026-05-25 14:47:32
PMAX,geometric,3,0.057428210973739624,0.879685640335083,2023-10-22,peak activity in-window,2026-05-25 14:47:32
PMAX,geometric,4,0.03585244342684746,0.9155380725860596,2023-10-22,peak activity in-window,2026-05-25 14:47:32
PMAX,geometric,5,0.02396799623966217,0.9395060539245605,2023-10-22,peak activity in-window,2026-05-25 14:47:32
