quarter,channel,spend,impressions,inc_rev_aligned,roas_aligned,inc_rev_realized,roas_realized_wonky,tail_truncated,roas_aligned_lo,roas_aligned_hi,exported_at
2023Q1,ALL (blended),529503.96,131634272.0,3286505.66015625,6.206763137628376,2942314.59765625,5.556737663786783,False,,,2026-05-24 20:14:38
2023Q1,Amex,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q1,Meta,172134.28,44718467.0,1397385.375,8.117996215820312,1257316.875,7.304279327392578,False,3.7307608127593994,14.952640533447266,2026-05-24 20:14:38
2023Q1,PMAX,139409.31,86465159.0,1007712.9375,7.228447914123535,899894.875,6.4550557136535645,False,2.987361431121826,14.158604621887207,2026-05-24 20:14:38
2023Q1,Search,217837.75,376471.0,861140.1875,3.9531264305114746,764835.6875,3.511033773422241,False,2.3642983436584473,6.100165367126465,2026-05-24 20:14:38
2023Q1,Video_Epsilon,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q1,Video_Google,122.62,74175.0,20267.16015625,165.28428649902344,20267.16015625,165.28428649902344,False,63.08921813964844,334.69378662109375,2026-05-24 20:14:38
2023Q1,Video_Hulu,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q1,Video_MNTN,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q1,Video_Paramount,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q2,ALL (blended),601630.6,144593119.0,3373575.25,5.607386409534356,3403938.3125,5.657854358638009,False,,,2026-05-24 20:14:38
2023Q2,Amex,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q2,Meta,212611.13,43134419.0,1382696.5,6.503406047821045,1402501.5,6.5965576171875,False,2.9906816482543945,11.972997665405273,2026-05-24 20:14:38
2023Q2,PMAX,164989.96,101034400.0,1080064.125,6.546241760253906,1083560.75,6.567434787750244,False,2.6930830478668213,12.852758407592773,2026-05-24 20:14:38
2023Q2,Search,224029.51,424300.0,910814.625,4.065600872039795,917876.0625,4.097121238708496,False,2.4268810749053955,6.29038667678833,2026-05-24 20:14:38
2023Q2,Video_Epsilon,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q2,Video_Google,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q2,Video_Hulu,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q2,Video_MNTN,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q2,Video_Paramount,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q3,ALL (blended),391612.24,115927560.0,2759939.9375,7.047634510862071,2776518.8125,7.089969436348568,False,,,2026-05-24 20:14:38
2023Q3,Amex,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q3,Meta,116548.55,22860567.0,948064.375,8.134501457214355,961524.875,8.249994277954102,False,3.7194809913635254,14.9904203414917,2026-05-24 20:14:38
2023Q3,PMAX,119213.64,92772313.0,1037776.5,8.705182075500488,1029327.3125,8.634307861328125,False,3.590677499771118,17.064285278320312,2026-05-24 20:14:38
2023Q3,Search,155850.05,294680.0,774099.0625,4.96694803237915,785666.625,5.041170120239258,False,2.971238613128662,7.6542463302612305,2026-05-24 20:14:38
2023Q3,Video_Epsilon,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q3,Video_Google,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q3,Video_Hulu,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q3,Video_MNTN,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q3,Video_Paramount,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q4,ALL (blended),1528171.71,223334766.0,5961438.34375,3.901026504246699,5406449.984375,3.5378550387999264,False,,,2026-05-24 20:14:38
2023Q4,Amex,181860.0,5013660.0,798644.0625,4.3915324211120605,700069.625,3.8494975566864014,False,1.812626838684082,8.59827709197998,2026-05-24 20:14:38
2023Q4,Meta,416245.64,56508686.0,1612044.0,3.872819185256958,1581239.75,3.798814058303833,False,1.773987054824829,7.149470806121826,2026-05-24 20:14:38
2023Q4,PMAX,351674.21,153540220.0,1274320.875,3.6235835552215576,1283785.25,3.650495767593384,False,1.475449800491333,7.152401447296143,2026-05-24 20:14:38
2023Q4,Search,367108.15,589662.0,1054944.0,2.87365984916687,1020395.0,2.7795486450195312,False,1.7036254405975342,4.46769905090332,2026-05-24 20:14:38
2023Q4,Video_Epsilon,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2023Q4,Video_Google,4536.5599999999995,473201.0,142368.65625,31.38251304626465,65558.546875,14.45115852355957,False,11.824366569519043,64.0444564819336,2026-05-24 20:14:38
