quarter,channel,type,spend,impressions,input_value,inc_rev_aligned,roas_aligned,inc_rev_realized,roas_realized_wonky,eff_per_input_unit,tail_truncated,roas_aligned_lo,roas_aligned_hi,inc_rev_lo,inc_rev_hi,exported_at
2023Q1,Celebs,non_media,,,0.0,,,0.0,,,False,,,0.0,0.0,2026-05-25 14:11:04
2023Q1,Email_sends,non_media,,,0.0,,,0.0,,,False,,,0.0,0.0,2026-05-25 14:11:04
2023Q1,Redemptions_Birthday_Signup,non_media,,,5600.1900000000005,,,1730648.375,,309.03386760092064,False,,,-4943678.5,8419965.0,2026-05-25 14:11:04
2023Q1,Redemptions_Other,non_media,,,3242.04,,,73105.671875,,22.54928127814586,False,,,-1241567.0,1380770.5,2026-05-25 14:11:04
2023Q1,StoreCount,non_media,,,125.06593406593407,,,15756299.0,,125983.9389333099,False,,,3493510.25,27879490.0,2026-05-25 14:11:04
2023Q1,Vault_Drops,non_media,,,4.0,,,646956.9375,,161739.234375,False,,,-836028.8125,2142053.25,2026-05-25 14:11:04
2023Q1,Amex,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2023Q1,Meta,paid,172134.28,44718467.0,,1397619.5,8.119356155395508,1257675.375,7.306362152099609,,False,3.719148874282837,15.02740478515625,,,2026-05-25 14:11:04
2023Q1,PMAX,paid,139409.31,86465159.0,,1006201.25,7.217604160308838,898281.0,6.443479061126709,,False,2.9701452255249023,14.1610107421875,,,2026-05-25 14:11:04
2023Q1,Search,paid,217837.75,376471.0,,860877.0625,3.951918601989746,764462.1875,3.5093190670013428,,False,2.368528127670288,6.089138031005859,,,2026-05-25 14:11:04
2023Q1,Video_Epsilon,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2023Q1,Video_Google,paid,122.62,74175.0,,20250.962890625,165.15219116210938,20250.962890625,165.15219116210938,,False,62.92570495605469,335.2552490234375,,,2026-05-25 14:11:04
2023Q1,Video_Hulu,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2023Q1,Video_MNTN,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2023Q1,Video_Paramount,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2023Q1,ALL_PAID (blended),paid_blend,529503.96,131634272.0,,3284948.775390625,6.203822867331578,2940669.525390625,5.553630846104768,,False,,,,,2026-05-25 14:11:04
2023Q2,Celebs,non_media,,,0.0,,,0.0,,,False,,,0.0,0.0,2026-05-25 14:11:04
2023Q2,Email_sends,non_media,,,0.0,,,0.0,,,False,,,0.0,0.0,2026-05-25 14:11:04
2023Q2,Redemptions_Birthday_Signup,non_media,,,5488.3,,,1696081.5,,309.03585809813603,False,,,-4844903.5,8251736.5,2026-05-25 14:11:04
2023Q2,Redemptions_Other,non_media,,,4510.91,,,101717.0,,22.549108716423074,False,,,-1727490.5,1921178.75,2026-05-25 14:11:04
2023Q2,StoreCount,non_media,,,124.40659340659342,,,15157571.0,,121838.96837735182,False,,,3360759.5,26820102.0,2026-05-25 14:11:04
2023Q2,Vault_Drops,non_media,,,1.0,,,161739.234375,,161739.234375,False,,,-209007.203125,535513.3125,2026-05-25 14:11:04
