time,Model_Dates,geo,population,All_impression,All_spend,Meta_impression,Meta_spend,Search_impression,Search_spend,Search_click,PMAX_impression,PMAX_spend,Amex_impression,Amex_spend,Video_impression,Video_spend,Video_Epsilon_impression,Video_Epsilon_spend,Video_Google_impression,Video_Google_spend,Video_Hulu_impression,Video_Hulu_spend,Video_MNTN_impression,Video_MNTN_spend,Video_Paramount_impression,Video_Paramount_spend,Video_Peacock_impression,Video_Peacock_spend,Conversions_Revenue,Conversions_Transactions,Conversions_Units,Conversions_Pricing,Conversions_BasketSize,Vault_Drops,Category_Interest,Hurricanes,Email_sends,Email_spend,LightningSales,StoreCount,Celebs,Redemptions_Birthday_Signup,Redemptions_Other
4/2/2023,In Model,FL,100,12281946,52820.62,3221567,15078.88,223173,22305.44,38434,8837206,15436.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16185081.5,351774,1172202,13.80741673,3.33225878,0,67,0,0,0,91,124.4285714,0,449.4,2380.62
4/9/2023,In Model,FL,100,11863500,51731.46,3724474,17736.31,224517,19644.85,36826,7914509,14350.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13076204.08,293493,947294,13.80374422,3.227654493,0,64,0,0,0,21,124,0,449.4,76.62
4/16/2023,In Model,FL,100,12225723,53388.12,3588612,17881.33,214426,20932.56,36974,8422685,14574.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14164641.83,322172,1035115,13.68412382,3.212926635,0,64,0,0,0,0,124.4285714,0,449.4,80.11
4/23/2023,In Model,FL,100,12571346,53298.71,4084563,20754.31,205715,19198.38,36189,8281068,13346.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13989103.64,318408,1011864,13.82508286,3.177884978,0,62,0,0,0,0,124.4285714,0,449.4,81.26
4/30/2023,In Model,FL,100,12689029,53573.45,3915129,20323.46,268912,20634.98,36360,8504988,12615.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14938856.86,334538,1078884,13.84658301,3.224996861,0,63,0,0,0,91,124.5714286,0,416.07,18.52
5/7/2023,In Model,FL,100,11156227,46430.28,2772042,13790.22,384134,20440.81,36659,8000051,12199.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13586126.67,312178,993619,13.67337649,3.182860419,0,60,0,0,0,21,124.4285714,0,410.52,871.85
5/14/2023,In Model,FL,100,11695833,43242.9,3346319,13928.31,189542,16515.12,34301,8159972,12799.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13129683.82,307249,969230,13.54650993,3.154542407,0,62,0,0,0,0,124.4285714,0,410.52,29.34
5/21/2023,In Model,FL,100,11440824,42834.66,4038287,15447.96,174606,15952.75,33391,7227931,11433.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14417233.95,320774,1054615,13.6706134,3.287719703,0,63,0,0,0,91,124.4285714,0,410.52,31.25
5/28/2023,In Model,FL,100,10545446,38431.13,2762198,12523.65,162552,14711.02,28758,7620696,11196.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13335235.1,316614,983121,13.56418498,3.10510906,1,65,0,0,0,10,124.4285714,0,410.28,17.45
6/4/2023,In Model,FL,100,11162581,43118.65,3153395,16503.89,163201,14490.78,28382,7845985,12123.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12720453.19,301724,948270,13.41437902,3.142839151,0,60,0,0,0,0,124.4285714,0,409.97,13.4
6/11/2023,In Model,FL,100,10176847,40740.01,2408638,14766.28,157577,13809.43,27431,7610632,12164.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13554191.85,311485,984408,13.76887617,3.160370483,0,65,0,0,0,0,124.4285714,0,409.97,875.4
6/18/2023,In Model,FL,100,11013030,45706.49,3960944,21071.63,148955,12580.98,24840,6903131,12053.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12867551.69,303092,945328,13.61173232,3.118947382,0,62,0,0,0,0,124.4285714,0,409.97,13.4
6/25/2023,In Model,FL,100,8021573,36314.11,2158251,12804.9,157776,12812.41,25755,5705546,10696.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14126540.38,314894,1107245,12.75827877,3.516246737,0,63,0,0,0,41,124.4285714,0,402.88,21.69
7/2/2023,In Model,FL,100,9017943,30904.89,1531600,6573.24,181509,14141.66,30206,7304834,10189.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14127822.82,329998,1128287,12.52147975,3.419072237,0,71,0,0,0,81,124.4285714,0,360.39,10.2
7/9/2023,In Model,FL,100,7926979,26843.77,950398,4630.33,155532,13019.77,25470,6821049,9193.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12297222.04,293646,983701,12.50097544,3.349955388,0,63,0,0,0,0,124.4285714,0,360.39,10.2
7/16/2023,In Model,FL,100,8154498,26526.61,1025386,4714.54,147131,12438.94,23685,6981981,9373.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12247701.32,292976,983624,12.45160887,3.357353503,0,63,0,0,0,0,124.4285714,0,360.39,10.2
7/23/2023,In Model,FL,100,8053636,26327.11,1100609,5938.42,140656,11615.43,23060,6812371,8773.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12554528.14,297634,990621,12.67339188,3.328319345,1,62,0,0,0,0,124.4285714,0,360.39,10.2
7/30/2023,In Model,FL,100,8109613,26496.9,1016914,5454.77,141027,12131.25,22290,6951672,8910.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12355869.8,293409,971655,12.71631371,3.311605983,0,64,0,0,0,55,124.4285714,0,645.71,19
8/6/2023,In Model,FL,100,8146025,30020.01,1571293,8398.66,145247,12669.71,22180,6429485,8951.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12238728.06,291704,964132,12.69403781,3.305172367,1,60,0,0,0,60,124.4285714,0,759.84,19
8/13/2023,In Model,FL,100,7303891,28492.23,1284335,6925.33,147334,12420.96,21869,5872222,9145.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12032669.04,289073,946683,12.71034659,3.274892501,0,61,0,0,0,0,124.4285714,0,759.84,20.06
8/20/2023,In Model,FL,100,7919199,32389.49,2391321,11471.18,141563,11936.32,21075,5386315,8981.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12092678.98,289530,937136,12.90386772,3.236749214,0,57,0,0,0,0,124.4285714,0,759.84,22.71
8/27/2023,In Model,FL,100,9091032,31448.17,2158056,10543.27,141925,11837.55,22232,6791051,9067.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14004367.04,315387,1014356,13.80616572,3.216226414,1,55,46,0,0,55,124.4285714,0,725.68,65.57
9/3/2023,In Model,FL,100,11611006,34920.42,2786975,13781.03,147273,12323.7,22398,8676758,8815.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12100376.29,292250,910425,13.29090951,3.115226689,0,59,0,0,0,81,124.4285714,0,640.27,119.06
9/10/2023,In Model,FL,100,9696224,30614.3,2362517,12301.45,132824,10755.71,20931,7200883,7557.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12007457.04,287513,894269,13.42711985,3.110360227,0,56,0,0,0,0,125,0,640.27,118.53
9/17/2023,In Model,FL,100,9837826,30396.14,2345109,12412.81,122463,10348.14,19907,7370254,7635.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12414028.61,293014,908082,13.67060311,3.099107892,1,57,0,0,0,0,125.4285714,0,640.27,118.72
9/24/2023,In Model,FL,100,12627604,36232.25,2336054,13403.52,118112,10210.91,19377,10173438,12617.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12416809.71,294374,909262,13.65592064,3.088798603,1,56,0,0,0,0,125.1428571,0,640.27,119.85
10/1/2023,In Model,FL,100,18079903,75435.36,2994115,22696.54,148488,13669.93,25461,14403028,15735.56,0,0,534272,23333.33,0,0,0,0,0,0,0,0,407353,11666.67,126919,11666.67,12601500.38,296725,922247,13.66391041,3.108086612,0,60,0,0,0,0,126.4285714,0,429.48,82.32
10/8/2023,In Model,FL,100,18124223,77888.93,3125958,24440.89,161355,14233.58,27270,14302638,15881.13,0,0,534272,23333.33,0,0,0,0,0,0,0,0,407353,11666.67,126919,11666.67,12826189.02,300094,938404,13.66808861,3.127033529,0,57,0,0,0,0,126.4285714,0,429.48,81.2
10/15/2023,In Model,FL,100,19429972,83241.43,3238757,25987.33,172291,16288.59,26887,15484652,17632.18,0,0,534272,23333.33,0,0,0,0,0,0,0,0,407353,11666.67,126919,11666.67,13355889.67,308269,977152,13.66818025,3.169802997,0,60,0,0,0,20,126.4285714,1,429.48,81.01
10/22/2023,In Model,FL,100,23569717,93889.9,3851911,31463.13,182988,18365.26,27655,19000546,20728.18,0,0,534272,23333.33,0,0,0,0,0,0,0,0,407353,11666.67,126919,11666.67,14530742.32,325410,1052515,13.80573419,3.234427338,0,66,0,0,0,101,126.4285714,0,429.48,81.01
10/29/2023,In Model,FL,100,23480076,99013.68,3318299,25598.17,191746,18258.88,28224,18989333,21920.29,237673,3926,743025,29310.34,0,0,0,0,0,0,0,0,511685,14655.17,231340,14655.17,13975285.29,316764,1004554,13.91193036,3.171301032,0,61,0,0,0,0,126.4285714,0,445.66,71.23
11/5/2023,In Model,FL,100,20816902,120742.78,3889634,32139.22,227512,22680.66,34985,15362844,25041.89,415928,6870.5,920984,34010.51,0,0,21395,217.41,0,0,0,0,589934,16896.55,309655,16896.55,14459084.2,322435,1042112,13.87478908,3.232006451,0,60,0,0,0,68,126.8571429,1,457.8,2893.97
11/12/2023,In Model,FL,100,12069817,130396.32,4168576,36417.3,257467,25940.15,38997,6308785,27160.16,415928,6870.5,919061,34008.22,0,0,19472,215.11,0,0,0,0,589934,16896.55,309655,16896.55,15318916.36,325701,1071408,14.29792979,3.289544705,0,62,0,0,0,46,127.4285714,0,457.8,225.47
11/19/2023,In Model,FL,100,10470287,122425.05,2992108,28115.76,364442,27058.63,46310,5778807,26378.83,415928,6870.5,919002,34001.33,0,0,19413,208.23,0,0,0,0,589934,16896.55,309655,16896.55,18907451.8,365614,1251862,15.10346332,3.423999081,0,86,0,0,0,0,109.1428571,0,457.8,133.47
11/26/2023,In Model,FL,100,12117877,133843.54,3804961,29487,241149,24782.94,38554,6605272,29621.21,505550,14740.73,960945,35211.67,0,0,33947,407.07,0,0,0,0,606998,17402.3,320000,17402.3,14807083.54,319193,1040458,14.23131308,3.259651684,1,61,0,0,0,0,127.4285714,0,480.16,143.63
12/3/2023,In Model,FL,100,16084476,180173.61,5438251,38018.65,297992,34557.91,48977,8555373,35093.85,729606,34416.29,1063254,38086.91,0,0,67734,753.58,0,0,0,0,649658,18666.67,345861,18666.67,17109263.54,350851,1187834,14.40374963,3.385579634,0,63,0,0,0,55,127.4285714,0,536.06,85.8
12/10/2023,In Model,FL,100,16117557,184529.68,5994938,43144.21,328482,36174.9,56012,8004882,32755.52,729606,34416.29,1059649,38038.75,0,0,64129,705.42,0,0,0,0,649658,18666.67,345861,18666.67,20347027.36,385495,1351169,15.05883229,3.505023411,0,77,0,0,0,60,127.4285714,0,536.06,3182.8
12/17/2023,In Model,FL,100,18148493,203992.08,7169147,41293.27,489936,53579.77,82905,8701271,36685.76,729606,34416.29,1058533,38016.99,0,0,63013,683.65,0,0,0,0,649658,18666.67,345861,18666.67,31675282.25,530259,1944446,16.29013213,3.666974064,1,90,0,0,0,0,127.4285714,0,536.06,40.8
12/24/2023,In Model,FL,100,13684792,177383.66,4252152,27552.35,428193,44958.17,69628,7205899,32471.96,729606,34416.29,1068942,37984.88,0,0,73422,651.55,0,0,0,0,649658,18666.67,345861,18666.67,20637869.18,393287,1315867,15.68385648,3.345818702,0,90,0,0,0,0,127.2857143,0,536.06,2038.3
12/31/2023,In Model,FL,100,7675573,51962.77,2269879,9891.82,211681,16558.78,37797,4836890,14567.69,104229,4916.61,252893,6027.87,0,0,110676,694.54,0,0,0,0,92808,2666.67,49409,2666.67,15631278.84,348945,1061437,14.7265253,3.041846136,1,71,0,0,0,0,126.2857143,0,354.13,9.9
1/7/2024,In Model,FL,100,5650241,26006.75,1502893,6145.65,113893,7514.51,18212,4013411,12221.03,0,0,20044,125.56,0,0,20044,125.56,0,0,0,0,0,0,0,0,13341066.64,304891,954245,13.98075614,3.129790646,0,59,0,0,0,41,125.4285714,0,323.81,2.7
1/14/2024,In Model,FL,100,6659318,31236.79,2203353,11229.12,134617,9321.74,19076,4321348,10685.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14172336.5,318807,995698,14.23356932,3.12319993,1,60,0,0,0,81,125.4285714,1,323.81,2.7
1/21/2024,In Model,FL,100,6707271,32808.64,2602977,14433.45,133610,9021.31,19463,3970684,9353.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14073847.71,319717,1011326,13.91623246,3.163191197,0,54,0,0,0,0,125.4285714,0,323.81,1606.7
1/28/2024,In Model,FL,100,7197291,39833.03,2740779,16756.78,158158,12277.13,22744,4298354,10799.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14378315.45,322394,1017460,14.1315781,3.155952034,1,57,0,0,0,0,125.4285714,1,375.69,2.7
2/4/2024,In Model,FL,100,10186895,62329.72,3997890,26406.38,197789,16972.74,28496,5991216,18950.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15675838.98,341438,1110403,14.11725201,3.252136552,0,59,0,0,0,68,125.4285714,0,444.86,2.7
2/11/2024,In Model,FL,100,10037376,54498.02,3658561,21065.41,185318,13009.02,28333,6193497,20423.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15750756.47,353446,1111514,14.17054258,3.144791566,0,60,0,0,0,10,125.4285714,4,444.86,2.7
2/18/2024,In Model,FL,100,10019922,51501.31,3057402,18055.25,170799,12326.38,26005,6791721,21119.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14856116.81,333247,1067972,13.91058643,3.204746029,0,63,0,0,0,0,125.4285714,1,444.86,39.5
2/25/2024,In Model,FL,100,12703715,73751.3,3893089,19655.41,169229,11892.79,25730,8270131,29193.94,58272,3979.35,312994,9029.8,0,0,0,0,0,0,48987,1029.8,141340,4000,122667,4000,15162130.74,338539,1084182,13.98485747,3.202532057,1,59,0,0,0,0,125.4285714,0,445.89,11.9
3/3/2024,In Model,FL,100,14398691,116783.77,3695115,23458.49,169113,11205.25,25431,9068588,33302.62,203953,13927.74,1261922,34889.67,0,0,0,0,0,0,337899,6889.67,494689,14000,429335,14000,15198414.73,340342,1090759,13.93379723,3.204890963,0,58,0,0,0,0,125.4285714,1,448.45,1.93
3/10/2024,In Model,FL,100,14098739,109998.26,3719984,24281.13,155208,9512.68,24721,8783824,27602.32,203953,13927.74,1235770,34674.39,0,0,0,0,0,0,311747,6674.39,494689,14000,429335,14000,16344069.31,354697,1153403,14.17030241,3.251798014,1,60,0,0,0,0,125.4285714,0,448.45,1064.93
3/17/2024,In Model,FL,100,14972892,112622.03,4645371,26251.15,166997,10202.25,25628,8724630,27322.19,203953,13927.74,1231941,34918.7,0,0,0,0,0,0,307918,6918.7,494689,14000,429335,14000,15247535.53,343225,1092627,13.95493204,3.183413213,0,61,0,0,0,0,125.4285714,0,448.45,1.93
3/24/2024,In Model,FL,100,16103281,126397.08,5195536,39096.89,177942,10311.87,27679,9262304,27667.55,203953,13927.74,1263546,35393.03,0,0,0,0,0,0,339523,7393.03,494689,14000,429335,14000,17053032.87,364951,1212894,14.0597883,3.323443421,1,60,0,0,0,91,125.4285714,0,448.45,3.39
3/31/2024,In Model,FL,100,12475972,88646.76,2650065,15719.62,168879,9516.78,24233,8606822,25481,209780,11829.68,840426,26099.68,0,0,0,0,0,0,224399,5547.96,358984,10275.86,257043,10275.86,13661320.36,305417,980693,13.93027212,3.210996768,0,59,0,0,0,0,108,1,455.86,5.94
4/7/2024,In Model,FL,100,10932263,85835.17,2953287,17712.24,142969,8748.99,23519,6829295,23855.9,210751,11480,795961,24038.04,0,0,38268,111.28,0,0,192999,4616.42,336366,9655.17,228328,9655.17,14453594.94,329843,1044019,13.84418764,3.165199807,1,59,0,0,0,0,125.4285714,0,457.1,5.52
4/14/2024,In Model,FL,100,11942944,85808.38,2718985,18051.99,149521,8849.53,23474,7982000,22975.01,210751,11480,881687,24451.84,0,0,107092,281.03,0,0,209901,4860.47,336366,9655.17,228328,9655.17,14634201.97,331657,1067115,13.71380027,3.217525938,0,62,0,0,0,0,125.4285714,0,457.1,1359.09
4/21/2024,In Model,FL,100,11121009,90501.65,3342322,23147.95,143499,8806.16,21998,6582075,22729.22,210751,11480,842362,24338.33,0,0,60923,179.92,0,0,216745,4848.06,336366,9655.17,228328,9655.17,14345125.37,329048,1036403,13.84126191,3.149701563,0,58,0,0,0,0,125.4285714,0,457.1,5.09
4/28/2024,In Model,FL,100,10061751,82378.54,4251872,32346.03,140704,8808.2,20626,5147001,24611.72,90322,4920,431852,11692.59,0,0,51696,187.16,0,0,138144,3229.57,144157,4137.93,97855,4137.93,15011215.02,335548,1077127,13.93634643,3.210053405,1,57,0,0,0,91,125.5714286,0,406.09,2.18
